timeTag: 2, x: 10, y: 24, theta:13
timeTag: 4, x: 8, y: 22, theta:3
timeTag: 6, x: 9, y: 20, theta:2
timeTag: 8, x: 9, y: 20, theta:2
timeTag: 10, x: 9, y: 20, theta:2
timeTag: 12, x: 9, y: 20, theta:2
timeTag: 14, x: 9, y: 20, theta:2
timeTag: 16, x: 9, y: 22, theta:2
timeTag: 18, x: 5, y: 19, theta:11
timeTag: 20, x: 9, y: 18, theta:2
timeTag: 22, x: 9, y: 18, theta:2
timeTag: 24, x: 9, y: 18, theta:2
timeTag: 26, x: 9, y: 17, theta:4
timeTag: 28, x: 10, y: 18, theta:2
timeTag: 30, x: 5, y: 19, theta:10
timeTag: 32, x: 5, y: 20, theta:10
timeTag: 34, x: 10, y: 18, theta:15
timeTag: 36, x: 9, y: 17, theta:4
timeTag: 38, x: 9, y: 17, theta:4
timeTag: 40, x: 9, y: 15, theta:4
timeTag: 42, x: 14, y: 18, theta:12
timeTag: 44, x: 14, y: 18, theta:12
timeTag: 46, x: 14, y: 17, theta:12
timeTag: 48, x: 15, y: 16, theta:12
timeTag: 50, x: 16, y: 15, theta:12
timeTag: 52, x: 16, y: 15, theta:12
timeTag: 54, x: 17, y: 14, theta:13
timeTag: 56, x: 15, y: 23, theta:13
timeTag: 58, x: 12, y: 21, theta:1
timeTag: 60, x: 14, y: 21, theta:14
timeTag: 62, x: 15, y: 21, theta:14
timeTag: 64, x: 12, y: 26, theta:0
timeTag: 66, x: 12, y: 25, theta:15
timeTag: 68, x: 12, y: 24, theta:15
timeTag: 70, x: 15, y: 28, theta:0
timeTag: 72, x: 15, y: 26, theta:0
timeTag: 74, x: 15, y: 26, theta:0
timeTag: 76, x: 15, y: 26, theta:0
timeTag: 78, x: 15, y: 26, theta:0
timeTag: 80, x: 15, y: 26, theta:0
timeTag: 82, x: 13, y: 31, theta:1
timeTag: 84, x: 14, y: 25, theta:14
timeTag: 86, x: 13, y: 24, theta:13
timeTag: 88, x: 12, y: 24, theta:13
timeTag: 90, x: 11, y: 24, theta:13
timeTag: 92, x: 12, y: 24, theta:2
timeTag: 94, x: 10, y: 26, theta:4
timeTag: 96, x: 12, y: 24, theta:2
timeTag: 98, x: 10, y: 22, theta:2
timeTag: 100, x: 9, y: 20, theta:2
timeTag: 102, x: 9, y: 20, theta:2
timeTag: 104, x: 9, y: 17, theta:4
timeTag: 106, x: 9, y: 17, theta:4
timeTag: 108, x: 9, y: 17, theta:4
timeTag: 110, x: 9, y: 17, theta:3
timeTag: 112, x: 8, y: 15, theta:4
timeTag: 114, x: 8, y: 15, theta:4
timeTag: 116, x: 9, y: 14, theta:3
timeTag: 118, x: 14, y: 18, theta:12
timeTag: 120, x: 14, y: 18, theta:12
timeTag: 122, x: 14, y: 17, theta:12
timeTag: 124, x: 15, y: 16, theta:12
timeTag: 126, x: 15, y: 15, theta:12
timeTag: 128, x: 16, y: 15, theta:12
timeTag: 130, x: 16, y: 14, theta:12
timeTag: 132, x: 14, y: 22, theta:14
timeTag: 134, x: 15, y: 23, theta:13
timeTag: 136, x: 12, y: 22, theta:0
timeTag: 138, x: 13, y: 21, theta:1
timeTag: 140, x: 16, y: 21, theta:14
timeTag: 142, x: 16, y: 21, theta:14
timeTag: 144, x: 16, y: 21, theta:14
timeTag: 146, x: 16, y: 21, theta:14
timeTag: 148, x: 12, y: 27, theta:2
timeTag: 150, x: 13, y: 27, theta:15
timeTag: 152, x: 13, y: 27, theta:15
timeTag: 154, x: 14, y: 27, theta:15
timeTag: 156, x: 13, y: 27, theta:2
timeTag: 158, x: 15, y: 28, theta:1
timeTag: 160, x: 15, y: 25, theta:15
timeTag: 162, x: 17, y: 27, theta:14
timeTag: 164, x: 16, y: 24, theta:3
timeTag: 166, x: 14, y: 27, theta:0
timeTag: 168, x: 14, y: 25, theta:0
timeTag: 170, x: 11, y: 31, theta:3
timeTag: 172, x: 11, y: 32, theta:3
timeTag: 174, x: 15, y: 27, theta:4
timeTag: 176, x: 11, y: 32, theta:4
timeTag: 178, x: 12, y: 25, theta:15
